People:,Rank:,Season 1:,Season 2:,Season 3:,Season 4:,Season 5:,Season 6:,Total Donated:,,Key For Donation Statistics:,Key For Rank:,
Nojoebob,Co-leader,1053,795,1195,3850,1354,415,8662,,Yellow = earned / kept Elder,Co-leaders:,4
Lord Isenstoffer,Leader,1553,1136,1256,1143,1939,506,7533,,Green = earned / kept Co-leader,Leaders:,1
Dragon Slayer,Member,4771,1453,67,67,0,0,6358,,Red = did not earn any rank,Elders:,5
Senor Peso,Co-leader,1441,645,1040,600,1177,390,5293,,,Members:,36
Sumo,Elder,504,862,755,902,279,75,3377,,,Total:,46
Tre,Member,2475,724,128,36,0,0,3363,,,,
Dontbscared,Elder,N/A,N/A,1266,1522,523,0,3311,,,,
Eagle999,Elder,567,664,741,900,249,77,3198,Jxck,0,,
kidvid,Co-leader,N/A,N/A,N/A,N/A,1589,1128,2717,kinghopper,0,,
Alan,Co-leader,377,88,655,300,722,184,2326,,,,
rifal253,Elder,126,22,206,945,415,2,1716,,,,
jake,Member,494,185,65,56,0,59,859,,,,
Crazyhawk22,Member,155,34,325,300,22,1,837,,,,
ZeroTwo,Member,353,293,0,0,40,0,686,,,,
LostPantalones,Member,N/A,N/A,N/A,300,269,71,640,,,,
King,Member,N/A,N/A,N/A,N/A,514,92,606,,,,
Liliarch Dantil,Member,N/A,150,190,177,3,0,520,,,,
MELSEV,Member,N/A,N/A,0,105,160,32,297,,,,
Lord Vader,Member,57,0,90,91,2,0,240,,,,
Matt,Member,0,0,101,104,31,0,236,,,,
angel.wya,Member,N/A,N/A,56,0,48,40,144,,,,
DrewPTiger,Member,34,101,0,0,0,0,135,,,,
tuddies,Member,0,0,0,0,0,112,112,,,,
zach,Member,65,0,0,0,0,0,65,,,,
TopDawg453,Member,N/A,N/A,N/A,55,0,0,55,,,,
Hughdrowling,Elder,32,19,0,2,0,0,53,,,,
Destroyer5,Member,N/A,N/A,N/A,31,10,10,51,,,,
LiquidRichard,Member,N/A,N/A,32,5,11,0,48,,,,
kdawg225,Member,0,5,26,0,0,0,31,,,,
ASeason,Member,N/A,N/A,N/A,N/A,27,4,31,,,,
LivingGummiBear,Member,30,0,0,0,0,0,30,,,,
MagicSpirit21,Member,N/A,N/A,25,0,0,0,25,,,,
Curse,Member,N/A,N/A,N/A,25,0,0,25,,,,
Viper,Member,N/A,N/A,4,20,0,0,24,,,,
wutupie,Member,0,0,0,0,0,0,0,,,,
cimahi 236,Member,N/A,N/A,N/A,N/A,0,0,0,,,,
Noob,Member,N/A,N/A,N/A,N/A,0,0,0,,,,
Travis8142,Member,0,0,0,0,0,0,0,,,,
sherif,Member,0,0,0,0,0,0,0,,,,
SargntJ,Member,0,0,0,0,0,0,0,,,,
Redneckrambo,Member,0,0,0,0,0,0,0,,,,
HORSEY,Member,0,0,0,0,0,0,0,,,,
Drew,Member,0,0,0,0,0,0,0,,,,
China (127 XP),Member,0,0,0,0,0,0,0,,,,
Noted,Member,0,0,0,0,0,0,0,,,,
adam,Member,N/A,N/A,N/A,N/A,0,0,0,,,,
Totals:,,"17,112","8,362","10,415","12,223","9,585","3,219","60,916",,,,
,,,,,,,,,,,,
Ex-Clan Members:,,,,,,,,,,,,
noah eggroll69,Member,478,432,1123,407,103,2543,,,,,
iamstickyjoe,Co-leader,361,0,361,,,,,,,,
Pacpod,Elder,1316,395,540,147,2398,,,,,,
VortexMaster,Member,N/A,102,88,32,222,,,,,,
Stix1198,Member,N/A,121,121,,,,,,,,
AceDg21,Member,27,0,51,0,78,,,,,,
Shenice,Member,20,0,20,,,,,,,,
con,Member,N/A,1,1,,,,,,,,
Zimbabwe Magoos,Member,0,0,0,,,,,,,,
no u,Member,0,0,0,,,,,,,,
leo leo,Member,0,0,0,,,,,,,,
InfinityArrow,Member,0,0,0,,,,,,,,
detinator,Member,0,N/A,0,,,,,,,,
Tree,Member,63,0,0,63,,,,,,,
macaroni+man,Member,0,0,0,0,,,,,,,
HAMEZ,Member,0,0,0,0,,,,,,,
pikachu 2,Member,85,20,0,0,0,105,,,,,
Padre,Member,88,0,6,0,0,94,,,,,
illuminate,Member,66,21,0,0,87,,,,,,
jmollls,Member,35,0,0,0,35,,,,,,
Gymgirl05,Member,N/A,N/A,79,16,0,95,,,,,
the emperer,Member,0,N/A,5,9,0,14,,,,,
chaidir253,Member,486,94,300,76,32,988,,,,,
peyton,Member,N/A,N/A,N/A,0,66,21,87,,,,